Data Set,Total Clusters Count,Non Homogenous Clusters Count,Clusters Selected by PSO,Time For PSO 1,AccAfterStage1,Total Classifiers Count,Selected Classifiers Count,Classifier,Time For PSO 2,Avg Accuracy,Std. Dev,Optimized Acc,Std. Dev,Duration
healthy-lifestyle,496,496,266,5m 33s,-,1330,333,"['ANN', 'KNN', 'DT', 'NB', 'ANN', 'DT', 'ANN', 'KNN', 'NB', 'KNN', 'KNN', 'DT', 'ANN', 'ANN', 'ANN', 'ANN', 'KNN', 'DT', 'ANN', 'DISCR', 'NB', 'ANN', 'ANN', 'DT', 'NB', 'DT', 'DT', 'KNN', 'ANN', 'DT', 'NB', 'ANN', 'NB', 'ANN', 'ANN', 'NB', 'ANN', 'NB', 'ANN', 'KNN', 'NB', 'ANN', 'KNN', 'NB', 'NB', 'ANN', 'ANN', 'KNN', 'DISCR', 'NB', 'NB', 'ANN', 'ANN', 'KNN', 'ANN', 'ANN', 'DISCR', 'DT', 'ANN', 'NB', 'ANN', 'KNN', 'DT', 'ANN', 'KNN', 'DISCR', 'KNN', 'NB', 'KNN', 'KNN', 'KNN', 'KNN', 'KNN', 'DT', 'ANN', 'KNN', 'KNN', 'DISCR', 'ANN', 'KNN', 'NB', 'ANN', 'DT', 'ANN', 'DISCR', 'KNN', 'ANN', 'KNN', 'DISCR', 'ANN', 'DISCR', 'NB', 'DT', 'KNN', 'ANN', 'DISCR', 'ANN', 'KNN', 'ANN', 'NB', 'DISCR', 'ANN', 'ANN', 'KNN', 'ANN', 'DT', 'DT', 'KNN', 'ANN', 'NB', 'ANN', 'ANN', 'KNN', 'DISCR', 'NB', 'DT', 'KNN', 'NB', 'ANN', 'DISCR', 'ANN', 'NB', 'DISCR', 'DISCR', 'DISCR', 'NB', 'ANN', 'ANN', 'KNN', 'DT', 'ANN', 'KNN', 'ANN', 'KNN', 'DISCR', 'NB', 'ANN', 'KNN', 'NB', 'ANN', 'KNN', 'DISCR', 'KNN', 'KNN', 'ANN', 'KNN', 'ANN', 'KNN', 'DISCR', 'ANN', 'NB', 'ANN', 'ANN', 'KNN', 'DT', 'ANN', 'NB', 'DT', 'KNN', 'NB', 'ANN', 'NB', 'DT', 'ANN', 'DT', 'ANN', 'KNN', 'NB', 'KNN', 'ANN', 'KNN', 'DISCR', 'DT', 'KNN', 'ANN', 'ANN', 'KNN', 'NB', 'DT', 'ANN', 'DISCR', 'NB', 'DT', 'DISCR', 'NB', 'KNN', 'KNN', 'ANN', 'DISCR', 'NB', 'KNN', 'KNN', 'DT', 'KNN', 'NB', 'DT', 'KNN', 'ANN', 'KNN', 'DT', 'ANN', 'KNN', 'ANN', 'KNN', 'DISCR', 'NB', 'ANN', 'KNN', 'NB', 'ANN', 'ANN', 'NB', 'ANN', 'DISCR', 'NB', 'DISCR', 'DT', 'ANN', 'ANN', 'DISCR', 'KNN', 'KNN', 'KNN', 'ANN', 'ANN', 'DT', 'ANN', 'ANN', 'KNN', 'DISCR', 'ANN', 'ANN', 'NB', 'ANN', 'KNN', 'NB', 'NB', 'KNN', 'DT', 'DISCR', 'ANN', 'KNN', 'KNN', 'DT', 'ANN', 'DISCR', 'DT', 'ANN', 'NB', 'DISCR', 'ANN', 'KNN', 'DISCR', 'ANN', 'DISCR', 'NB', 'ANN', 'NB', 'DISCR', 'ANN', 'ANN', 'KNN', 'NB', 'ANN', 'DISCR', 'DT', 'ANN', 'KNN', 'DISCR', 'KNN', 'KNN', 'KNN', 'NB', 'KNN', 'NB', 'KNN', 'DT', 'ANN', 'ANN', 'NB', 'ANN', 'DISCR', 'NB', 'DISCR', 'KNN', 'ANN', 'DISCR', 'NB', 'DT', 'DISCR', 'ANN', 'KNN', 'DISCR', 'ANN', 'NB', 'DT', 'KNN', 'NB', 'DT', 'KNN', 'NB', 'DISCR', 'DISCR', 'KNN', 'DISCR', 'DT', 'DISCR', 'ANN', 'KNN', 'DT', 'KNN', 'DISCR', 'ANN', 'KNN', 'DISCR', 'KNN', 'ANN', 'KNN', 'DT', 'ANN', 'KNN', 'DISCR', 'ANN', 'KNN', 'DISCR', 'KNN', 'NB', 'NB', 'KNN', 'DISCR', 'NB', 'KNN', 'DISCR']",1m 22s,0.703803502953674,0.0,0.7014198362524614,0.0,10m 12s
heart-disease-health-indicator,1431,1431,726,104m 4s,-,3630,908,"['NB', 'DT', 'KNN', 'NB', 'NB', 'NB', 'NB', 'NB', 'NB', 'KNN', 'NB', 'NB', 'NB', 'KNN', 'DT', 'ANN', 'DT', 'ANN', 'DT', 'NB', 'DT', 'NB', 'NB', 'KNN', 'DISCR', 'KNN', 'NB', 'DT', 'DT', 'NB', 'DT', 'ANN', 'DT', 'ANN', 'NB', 'ANN', 'NB', 'DT', 'DT', 'ANN', 'NB', 'DT', 'NB', 'KNN', 'NB', 'DISCR', 'ANN', 'KNN', 'NB', 'ANN', 'KNN', 'DT', 'KNN', 'DT', 'NB', 'NB', 'DT', 'KNN', 'NB', 'DT', 'ANN', 'NB', 'DISCR', 'DT', 'NB', 'NB', 'KNN', 'KNN', 'DT', 'ANN', 'KNN', 'DT', 'ANN', 'DT', 'NB', 'DISCR', 'DT', 'NB', 'KNN', 'DT', 'ANN', 'KNN', 'NB', 'NB', 'KNN', 'DISCR', 'NB', 'NB', 'KNN', 'NB', 'DT', 'ANN', 'DT', 'DT', 'ANN', 'KNN', 'DT', 'NB', 'DT', 'DISCR', 'NB', 'DT', 'ANN', 'NB', 'NB', 'DISCR', 'NB', 'NB', 'DT', 'ANN', 'KNN', 'NB', 'NB', 'ANN', 'DT', 'ANN', 'DT', 'ANN', 'DISCR', 'NB', 'NB', 'ANN', 'KNN', 'DT', 'KNN', 'DISCR', 'NB', 'NB', 'KNN', 'NB', 'ANN', 'NB', 'DT', 'ANN', 'ANN', 'ANN', 'DT', 'ANN', 'NB', 'DT', 'DISCR', 'NB', 'ANN', 'DT', 'ANN', 'KNN', 'NB', 'NB', 'KNN', 'DT', 'NB', 'NB', 'DT', 'DISCR', 'DT', 'NB', 'ANN', 'NB', 'DT', 'ANN', 'KNN', 'ANN', 'NB', 'DT', 'NB', 'KNN', 'DT', 'KNN', 'DISCR', 'NB', 'DISCR', 'NB', 'NB', 'ANN', 'KNN', 'NB', 'ANN', 'KNN', 'NB', 'KNN', 'DT', 'ANN', 'DT', 'ANN', 'DT', 'KNN', 'NB', 'DT', 'DT', 'KNN', 'DT', 'DT', 'ANN', 'NB', 'KNN', 'NB', 'DT', 'ANN', 'DISCR', 'NB', 'NB', 'DT', 'DT', 'NB', 'NB', 'NB', 'DT', 'KNN', 'NB', 'DT', 'KNN', 'KNN', 'DISCR', 'KNN', 'NB', 'DISCR', 'DT', 'ANN', 'KNN', 'NB', 'DT', 'DISCR', 'NB', 'ANN', 'NB', 'NB', 'DT', 'ANN', 'NB', 'DT', 'DT', 'KNN', 'NB', 'ANN', 'KNN', 'NB', 'NB', 'KNN', 'DISCR', 'NB', 'DT', 'ANN', 'DT', 'NB', 'NB', 'DT', 'DT', 'NB', 'DT', 'NB', 'NB', 'DT', 'DISCR', 'DT', 'ANN', 'NB', 'DT', 'ANN', 'DT', 'ANN', 'KNN', 'NB', 'DT', 'NB', 'DT', 'KNN', 'NB', 'DT', 'DISCR', 'NB', 'DISCR', 'NB', 'NB', 'ANN', 'DT', 'DT', 'ANN', 'NB', 'NB', 'ANN', 'NB', 'ANN', 'NB', 'KNN', 'NB', 'DT', 'DISCR', 'NB', 'DISCR', 'DT', 'DT', 'NB', 'DT', 'KNN', 'NB', 'DT', 'NB', 'NB', 'NB', 'NB', 'ANN', 'KNN', 'KNN', 'NB', 'ANN', 'NB', 'ANN', 'NB', 'DT', 'NB', 'NB', 'DT', 'KNN', 'DISCR', 'DT', 'NB', 'DISCR', 'KNN', 'NB', 'NB', 'NB', 'DT', 'ANN', 'DISCR', 'DT', 'ANN', 'KNN', 'NB', 'NB', 'ANN', 'NB', 'KNN', 'DT', 'KNN', 'KNN', 'NB', 'DT', 'ANN', 'DISCR', 'NB', 'DT', 'ANN', 'DT', 'ANN', 'NB', 'ANN', 'KNN', 'ANN', 'DT', 'NB', 'ANN', 'DT', 'KNN', 'DT', 'KNN', 'DT', 'DISCR', 'NB', 'ANN', 'NB', 'DT', 'DT', 'ANN', 'KNN', 'NB', 'DISCR', 'NB', 'ANN', 'NB', 'DT', 'NB', 'ANN', 'DT', 'NB', 'NB', 'DT', 'ANN', 'KNN', 'DT', 'ANN', 'ANN', 'NB', 'KNN', 'DT', 'NB', 'DISCR', 'NB', 'DT', 'NB', 'DISCR', 'NB', 'DT', 'NB', 'DT', 'ANN', 'KNN', 'NB', 'DT', 'NB', 'DT', 'KNN', 'NB', 'ANN', 'NB', 'DT', 'ANN', 'DISCR', 'NB', 'NB', 'ANN', 'NB', 'DT', 'KNN', 'DISCR', 'DT', 'ANN', 'DT', 'NB', 'KNN', 'DT', 'ANN', 'DISCR', 'ANN', 'KNN', 'DT', 'NB', 'DISCR', 'DT', 'ANN', 'KNN', 'DT', 'ANN', 'DISCR', 'DISCR', 'NB', 'DISCR', 'NB', 'DT', 'KNN', 'NB', 'NB', 'DT', 'NB', 'DT', 'ANN', 'NB', 'DISCR', 'NB', 'NB', 'DT', 'NB', 'DT', 'NB', 'KNN', 'NB', 'DT', 'ANN', 'NB', 'NB', 'NB', 'DISCR', 'NB', 'NB', 'NB', 'ANN', 'DISCR', 'NB', 'DT', 'DT', 'NB', 'DT', 'NB', 'ANN', 'DT', 'KNN', 'NB', 'DISCR', 'NB', 'NB', 'NB', 'NB', 'DT', 'KNN', 'DT', 'ANN', 'KNN', 'NB', 'ANN', 'NB', 'ANN', 'NB', 'NB', 'DT', 'DT', 'KNN', 'ANN', 'NB', 'DT', 'ANN', 'DT', 'NB', 'NB', 'DT', 'ANN', 'KNN', 'NB', 'DT', 'NB', 'ANN', 'DISCR', 'DT', 'KNN', 'NB', 'DISCR', 'KNN', 'DISCR', 'DISCR', 'NB', 'DT', 'DISCR', 'NB', 'DISCR', 'DT', 'KNN', 'DT', 'DISCR', 'ANN', 'DISCR', 'DISCR', 'NB', 'ANN', 'DT', 'ANN', 'KNN', 'DT', 'KNN', 'NB', 'DT', 'DISCR', 'NB', 'DT', 'DT', 'DT', 'NB', 'ANN', 'DISCR', 'NB', 'DT', 'ANN', 'NB', 'DT', 'ANN', 'NB', 'DT', 'ANN', 'NB', 'ANN', 'KNN', 'DISCR', 'NB', 'NB', 'NB', 'KNN', 'NB', 'DT', 'ANN', 'NB', 'NB', 'DT', 'ANN', 'KNN', 'DT', 'DISCR', 'NB', 'KNN', 'DT', 'KNN', 'ANN', 'DISCR', 'DISCR', 'NB', 'DISCR', 'NB', 'DT', 'NB', 'NB', 'DT', 'DISCR', 'NB', 'NB', 'ANN', 'NB', 'NB', 'DT', 'DISCR', 'KNN', 'NB', 'ANN', 'NB', 'ANN', 'DISCR', 'NB', 'ANN', 'ANN', 'DT', 'DT', 'DISCR', 'NB', 'KNN', 'NB', 'ANN', 'DT', 'ANN', 'KNN', 'NB', 'ANN', 'NB', 'ANN', 'NB', 'NB', 'NB', 'DT', 'KNN', 'NB', 'NB', 'DT', 'KNN', 'KNN', 'NB', 'DISCR', 'NB', 'DT', 'NB', 'KNN', 'NB', 'NB', 'DT', 'NB', 'NB', 'DT', 'KNN', 'NB', 'ANN', 'KNN', 'NB', 'DT', 'DISCR', 'NB', 'DT', 'NB', 'NB', 'ANN', 'NB', 'ANN', 'KNN', 'NB', 'NB', 'NB', 'NB', 'NB', 'NB', 'DT', 'DISCR', 'NB', 'DT', 'DT', 'NB', 'DT', 'NB', 'ANN', 'KNN', 'DT', 'DT', 'NB', 'KNN', 'DT', 'ANN', 'KNN', 'DT', 'NB', 'DISCR', 'NB', 'ANN', 'DISCR', 'NB', 'DT', 'ANN', 'ANN', 'KNN', 'DISCR', 'NB', 'ANN', 'KNN', 'NB', 'DT', 'NB', 'ANN', 'DISCR', 'NB', 'DT', 'DISCR', 'DT', 'DISCR', 'NB', 'KNN', 'NB', 'NB', 'DISCR', 'DT', 'ANN', 'KNN', 'KNN', 'DT', 'ANN', 'ANN', 'NB', 'KNN', 'NB', 'NB', 'ANN', 'DISCR', 'ANN', 'NB', 'DT', 'DISCR', 'NB', 'NB', 'DT', 'NB', 'DISCR', 'NB', 'ANN', 'NB', 'KNN', 'NB', 'NB', 'DISCR', 'DT', 'DT', 'DISCR', 'NB', 'DT', 'KNN', 'NB', 'ANN', 'NB', 'DT', 'ANN', 'NB', 'DISCR', 'NB', 'DT', 'KNN', 'DT', 'NB', 'NB', 'ANN', 'DT', 'NB', 'DT', 'ANN', 'DISCR', 'NB', 'DT', 'ANN', 'NB', 'NB', 'DT', 'NB', 'DT', 'DISCR', 'DT', 'ANN', 'NB', 'DT', 'KNN', 'NB', 'KNN', 'NB', 'DT', 'DT', 'NB', 'DT', 'ANN', 'NB', 'KNN', 'NB', 'ANN', 'KNN', 'NB', 'DT', 'NB', 'NB', 'DISCR', 'NB', 'DISCR', 'KNN', 'DISCR', 'NB', 'ANN', 'KNN', 'NB', 'DT', 'NB', 'DT', 'KNN', 'ANN', 'KNN', 'DT', 'NB', 'ANN', 'NB', 'ANN', 'DISCR', 'NB', 'DT', 'ANN', 'DT', 'NB', 'DT', 'KNN', 'DISCR', 'DT', 'DT', 'NB', 'NB', 'DT', 'ANN', 'NB', 'NB', 'ANN', 'KNN', 'NB', 'DT', 'NB', 'NB', 'ANN', 'DT', 'NB', 'DISCR', 'NB', 'DISCR', 'DISCR', 'NB', 'DT', 'NB', 'ANN', 'NB', 'DISCR', 'ANN', 'DT', 'DT', 'NB', 'ANN', 'DISCR', 'DISCR', 'NB', 'NB', 'DT', 'NB', 'ANN', 'NB', 'NB', 'NB', 'DT', 'ANN', 'DISCR', 'NB', 'ANN', 'DISCR', 'DISCR', 'NB', 'ANN', 'NB', 'DT', 'ANN', 'DISCR', 'NB', 'KNN', 'NB', 'ANN', 'DT', 'KNN', 'NB', 'ANN', 'KNN', 'DT', 'KNN', 'NB', 'DISCR', 'NB', 'NB', 'NB', 'DT', 'ANN', 'DISCR', 'NB', 'DT', 'ANN', 'KNN', 'DT', 'KNN', 'NB', 'NB', 'NB', 'DT', 'ANN', 'ANN']",48m 42s,0.9082111321349732,0.0,0.8643960895616525,0.0,230m 8s
